country	code
albania	22
algeria	106
andorra	9
angola	1
anguilla	1
argentina	37
armenia	7
aruba	2
australia	1297
austria	403
azerbaijan	13
bahrain	1
bangladesh	3
belarus	2
belgium	4013
benin	2
bosnia-and-herzegovina	15
brazil	94
british-indian-ocean-territory	1
bulgaria	31
burkina-faso	22
cambodia	19
cameroon	18
canada	829
central-african-republic	2
chad	1
chile	42
china	72
colombia	30
cook-islands	1
costa-rica	8
cote-d-ivoire	30
croatia	23
cuba	8
cyprus	7
czech-republic	126
democratic-republic-of-the-congo	4
denmark	240
djibouti	4
dominican-republic	1
ecuador	2
egypt	28
el-salvador	2
en	125
equatorial-guinea	1
estonia	13
ethiopia	1
european-union	19
fiji	2
finland	62
france	145747
french-guiana	104
french-polynesia	270
gabon	11
georgia	56
germany	11431
ghana	1
gibraltar	1
greece	63
guadeloupe	256
guatemala	2
guinea	1
guyana	1
honduras	1
hong-kong	139
hungary	241
iceland	18
india	87
indonesia	15
iran	4
iraq	10
ireland	329
israel	39
italy	1325
japan	85
jordan	8
kazakhstan	5
kenya	2
kosovo	3
kuwait	5
latvia	8
lebanon	21
libya	1
liechtenstein	1
lithuania	12
luxembourg	172
macau	2
madagascar	111
malawi	2
malaysia	9
mali	6
malta	15
martinique	120
mauritania	2
mauritius	35
mayotte	5
mexico	2615
moldova	3
monaco	13
mongolia	3
montenegro	39
morocco	161
mozambique	1
nepal	1
netherlands	673
new-caledonia	78
new-zealand	87
niger	2
nigeria	1
norway	76
oman	5
pakistan	2
palestinian-territories	1
paraguay	2
peru	13
philippines	9
poland	134
portugal	683
puerto-rico	1
qatar	15
republic-of-macedonia	12
republic-of-the-congo	6
reunion	280
romania	226
russia	1263
rwanda	1
saint-kitts-and-nevis	3
saint-martin	4
saint-pierre-and-miquelon	39
saudi-arabia	34
senegal	65
serbia	540
seychelles	1
singapore	24
slovakia	19
slovenia	30
south-africa	132
south-korea	12
soviet-union	2
spain	5620
sri-lanka	2
suriname	1
swaziland	3
sweden	994
switzerland	5558
syria	2
taiwan	32
tanzania	1
thailand	64
togo	4
tunisia	105
turkey	24
ukraine	9
united-arab-emirates	33
united-kingdom	3805
united-states	3903
uruguay	4
vanuatu	1
venezuela	1
vietnam	20
virgin-islands-of-the-united-states	1
world	4
yemen	1
