country	nbOfProduct	nbOfAdditive
albania	22	3.0
algeria	106	42.0
andorra	9	2.0
angola	1	0.0
anguilla	1	0.0
argentina	37	16.0
armenia	7	0.0
aruba	2	0.0
australia	1297	379.0
austria	403	129.0
azerbaijan	13	0.0
bahrain	1	0.0
bangladesh	3	2.0
belarus	2	1.0
belgium	4013	1797.0
benin	2	2.0
bosnia-and-herzegovina	15	4.0
brazil	94	32.0
british-indian-ocean-territory	1	0.0
bulgaria	31	12.0
burkina-faso	22	7.0
cambodia	19	4.0
cameroon	18	11.0
canada	829	389.0
central-african-republic	2	1.0
chad	1	1.0
chile	42	11.0
china	72	9.0
colombia	30	12.0
cook-islands	1	0.0
costa-rica	8	3.0
cote-d-ivoire	30	3.0
croatia	23	9.0
cuba	8	5.0
cyprus	7	1.0
czech-republic	126	29.0
democratic-republic-of-the-congo	4	1.0
denmark	240	116.0
djibouti	4	3.0
dominican-republic	1	1.0
ecuador	2	0.0
egypt	28	13.0
el-salvador	2	0.0
en	125	41.0
equatorial-guinea	1	1.0
estonia	13	6.0
ethiopia	1	0.0
european-union	19	5.0
fiji	2	0.0
finland	62	25.0
france	145747	62668.0
french-guiana	104	49.0
french-polynesia	270	192.0
gabon	11	2.0
georgia	56	2.0
germany	11431	3482.0
ghana	1	0.0
gibraltar	1	0.0
greece	63	24.0
guadeloupe	256	131.0
guatemala	2	1.0
guinea	1	0.0
guyana	1	0.0
honduras	1	0.0
hong-kong	139	46.0
hungary	241	98.0
iceland	18	6.0
india	87	40.0
indonesia	15	5.0
iran	4	0.0
iraq	10	2.0
ireland	329	167.0
israel	39	14.0
italy	1325	394.0
japan	85	18.0
jordan	8	0.0
kazakhstan	5	0.0
kenya	2	1.0
kosovo	3	0.0
kuwait	5	3.0
latvia	8	5.0
lebanon	21	4.0
libya	1	0.0
liechtenstein	1	1.0
lithuania	12	5.0
luxembourg	172	82.0
macau	2	1.0
madagascar	111	68.0
malawi	2	1.0
malaysia	9	2.0
mali	6	2.0
malta	15	4.0
martinique	120	59.0
mauritania	2	1.0
mauritius	35	14.0
mayotte	5	0.0
mexico	2615	1550.0
moldova	3	1.0
monaco	13	5.0
mongolia	3	1.0
montenegro	39	15.0
morocco	161	42.0
mozambique	1	0.0
nepal	1	0.0
netherlands	673	261.0
new-caledonia	78	26.0
new-zealand	87	33.0
niger	2	0.0
nigeria	1	0.0
norway	76	21.0
oman	5	2.0
pakistan	2	1.0
palestinian-territories	1	0.0
paraguay	2	1.0
peru	13	4.0
philippines	9	6.0
poland	134	54.0
portugal	683	320.0
puerto-rico	1	0.0
qatar	15	3.0
republic-of-macedonia	12	3.0
republic-of-the-congo	6	4.0
reunion	280	153.0
romania	226	109.0
russia	1263	161.0
rwanda	1	0.0
saint-kitts-and-nevis	3	2.0
saint-martin	4	1.0
saint-pierre-and-miquelon	39	28.0
saudi-arabia	34	10.0
senegal	65	35.0
serbia	540	194.0
seychelles	1	0.0
singapore	24	10.0
slovakia	19	4.0
slovenia	30	11.0
south-africa	132	75.0
south-korea	12	1.0
soviet-union	2	0.0
spain	5620	2166.0
sri-lanka	2	0.0
suriname	1	0.0
swaziland	3	2.0
sweden	994	505.0
switzerland	5558	2497.0
syria	2	1.0
taiwan	32	6.0
tanzania	1	0.0
thailand	64	24.0
togo	4	2.0
tunisia	105	54.0
turkey	24	4.0
ukraine	9	0.0
united-arab-emirates	33	6.0
united-kingdom	3805	1408.0
united-states	3903	1907.0
uruguay	4	1.0
vanuatu	1	1.0
venezuela	1	0.0
vietnam	20	9.0
virgin-islands-of-the-united-states	1	1.0
world	4	0.0
yemen	1	0.0
